‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       336	-0.00596698	0.01464866	-0.00628909	0.00111965	
       337	0.00820627	0.01722561	-0.00596698	0.00305236	
       338	0.02366799	0.00723991	-0.00049095	0.00079753	
       339	0.02849978	0.00111965	-0.00145731	-0.00081307	
       340	0.03043250	-0.00210154	0.00401872	0.00273024	
       341	0.02270164	-0.00628909	0.00434084	0.00144177	
       342	0.01207170	-0.00661121	0.00820627	-0.00403426	
       343	-0.00918817	0.00208601	0.00949475	-0.00339002	
       344	-0.02658261	0.00562932	0.01078323	-0.00210154	
       345	-0.02464989	-0.00886605	0.00949475	0.00240812	
       346	-0.01530843	0.00530720	0.00691779	-0.00145731	
       347	-0.03656830	0.00273024	0.00498508	-0.00435638	
       348	-0.01595267	-0.00306790	-0.00049095	-0.00628909	
       349	-0.00016883	-0.00854393	-0.00242366	-0.00435638	
       350	0.00176389	-0.01144300	-0.00693333	-0.00113519	
       351	0.00079753	-0.01047664	-0.00822181	0.00176389	
       352	0.00369660	-0.00403426	-0.01112088	-0.00016883	
       353	0.00659567	0.00015329	-0.01047664	0.00047541	
       354	0.00111965	0.00562932	-0.01240936	0.00176389	
       355	-0.01047664	0.00756203	-0.01273148	0.00659567	
       356	-0.01305360	0.00659567	-0.00789969	0.00659567	
       357	0.00369660	0.00530720	-0.00177943	0.00047541	
       358	0.00756203	0.00595144	-0.00339002	-0.00371214	
       359	-0.00403426	0.00852839	0.00079753	-0.00371214	
       360	-0.00403426	0.00015329	0.00401872	0.00047541	
       361	-0.00757757	-0.01724115	0.00723991	-0.00242366	
       363	-0.00886605	-0.01691903	0.01013899	-0.00274578	
       364	0.01336018	-0.00822181	0.00756203	-0.00016883	
       365	0.02141316	-0.02851532	0.00659567	0.00434084	
       366	0.00240812	-0.01240936	0.00595144	0.00240812	
       367	-0.01530843	0.01819197	0.00659567	-0.00081307	
       368	0.00434084	0.00434084	0.00369660	0.00111965	
       368	0.01593713	0.00176389	0.00079753	0.00369660	
       369	0.00466296	-0.00177943	-0.00210154	-0.00081307	
       370	0.01046111	-0.03141439	-0.00467850	-0.00113519	
       371	0.00949475	-0.01627479	-0.00757757	-0.00145731	
       372	0.00627356	-0.00403426	-0.01047664	-0.00403426	
       373	0.01174958	0.00466296	-0.00983241	-0.00339002	
       374	0.01722561	0.01593713	-0.00918817	-0.00500062	
       375	0.02109104	0.02753343	-0.00693333	-0.00661121	
       376	0.01625925	0.01110534	-0.00596698	-0.00274578	
       377	0.02076892	0.00273024	-0.00500062	0.00144177	
       378	0.01883621	0.00015329	-0.00242366	0.00240812	
       379	0.00305236	0.00466296	-0.00016883	0.00434084	
       380	-0.01144300	0.00530720	0.00659567	0.00466296	
       381	-0.02368353	0.00434084	0.00723991	0.00917263	
       382	-0.02175082	0.00466296	0.00788415	0.00820627	
       383	-0.01627479	0.00240812	0.00723991	0.00691779	
       384	-0.01337572	-0.00242366	0.00756203	0.00659567	
       385	-0.00983241	0.00015329	0.00691779	0.00659567	
       386	-0.00467850	-0.00274578	0.00627356	0.00079753	
       387	-0.00016883	-0.00403426	0.00466296	0.00144177	
       388	0.00047541	-0.00403426	-0.00016883	0.00015329	
       389	-0.00016883	-0.00306790	-0.00403426	0.00240812	
       390	-0.00210154	-0.00596698	-0.00403426	0.00208601	
       391	-0.00435638	-0.00016883	-0.00628909	-0.00081307	
       392	-0.00467850	-0.00081307	-0.00951029	-0.00339002	
       393	-0.00403426	-0.00210154	-0.00918817	-0.00371214	
       394	-0.00757757	-0.00145731	-0.01079876	-0.00403426	
       395	-0.00983241	-0.00435638	-0.00822181	-0.00500062	
       396	-0.00951029	0.00047541	-0.00628909	-0.00532274	
       397	-0.01563055	-0.00145731	-0.00757757	-0.00242366	
       398	-0.01466419	-0.00113519	-0.00564486	-0.00339002	
       399	-0.01112088	-0.00177943	0.00047541	-0.00113519	
